episode,total_reward
881,-37.1310311854
882,-36.4610786518
883,-18.6551326761
884,-35.1869863974
885,-44.9704065456
886,-19.5711255548
887,-49.6667209455
888,-26.3673157854
889,-20.3427225198
890,-19.1937914164
891,-20.0770144027
892,-34.6631206718
893,-18.5873057658
894,-21.6520090604
895,-28.9176858168
896,-22.1247912424
897,-26.3978923307
898,-35.3526546207
899,-17.6808510771
900,-37.1771160724
901,-26.4233973451
902,-23.6643623021
903,-52.8367162691
904,-12.5416092819
905,-37.9435221098
906,-34.9731560025
907,-27.7029633263
908,-23.9018619437
909,-36.3537496663
910,-25.8804323118
911,-26.1295565453
912,-20.2965417446
913,-27.3470404739
914,-14.6301918536
915,-19.6148251849
916,-21.2335771696
917,-29.6082739257
918,-20.8996416008
919,-47.8364210878
920,-36.8726742996
921,-21.2326172651
922,-35.7875908694
923,-34.9923505722
924,-18.8754136009
925,-24.2845650759
926,-24.9948720044
927,-18.5895866697
928,-21.6202855568
929,-18.0890919943
930,-56.4558271573
931,-22.9268112347
932,-24.1040375838
933,-34.6953594121
934,-28.3234819235
935,-31.2782812024
936,-35.5804348317
937,-28.0263346774
938,-21.4550644959
939,-45.0629475372
940,-27.9807822511
941,-20.3839981509
942,-18.9244607043
943,-37.1831094073
944,-25.8913430944
945,-23.8523039325
946,-23.1381968705
947,-37.5423953961
948,-48.4023550712
949,-25.0937317468
950,-26.5975042666
951,-19.8218259359
952,-22.1799756544
953,-29.6092613361
954,-36.6137786828
955,-42.8428701812
956,-34.8674819108
957,-31.2287029077
958,-48.6189785363
959,-28.6200439011
960,-20.5812037387
961,-37.6667878412
962,-20.2343623473
963,-38.1863038096
964,-48.8509491989
965,-24.5810375868
966,-29.3721942951
967,-33.0735642105
968,-51.6258133393
969,-42.9564359472
970,-17.6939402023
971,-21.1432459915
972,-29.7909773873
973,-40.5253753035
974,-28.0484820294
975,-24.8602868119
976,-35.2089223344
977,-23.2212905412
978,-18.2036462383
979,-17.5241876114
980,-32.0081004164
981,-38.0782392411
982,-30.8260852812
983,-25.9445269827
984,-34.8974450462
985,-26.0813499927
986,-32.8172499893
987,-21.2908757458
988,-23.8978662594
989,-18.994837825
990,-21.5104778342
991,-22.068837903
992,-38.066340035
993,-21.6287028845
994,-21.5118565349
995,-21.95765837
996,-38.0081661238
997,-25.9834806331
998,-29.6059780154
999,-53.49189381
1000,-26.7423556878
